LocationId,LocationName,Address,Address2,TownCity,Country,Postcode,PhoneNumber,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,ProductCard,ContactDetail,Longitude,Latitude,isYextRestrict,RichText,PlantType,CompanyName,LocationImage,FileCard,AddPage,PublisherImages,State,Region,isLocationClosed
,"CEMENTÁRNA PRACHOVICE - Cemex Czech Republic, s.r.o.",Tovární 296,Pardubický kraj,Prachovice,Czech Republic,538 04, 469 606 300,"openTime_1 : 07:15, closeTime_1 : 17:15","openTime_1 : 07:15, closeTime_1 : 17:15","openTime_1 : 07:15, closeTime_1 : 17:15","openTime_1 : 07:15, closeTime_1 : 17:15","openTime_1 : 07:15, closeTime_1 : 17:15","openTime_1 : 07:15, closeTime_1 : 12:15",Closed,-,"ContactName_1 : Sales Enquiries,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 01417327337",15.63408233,49.89508676,TRUE,"Cementárna v Prachovicích patří společnosti Cemex od roku 2015. Vyrábí se zde široká škála různých druhů cementu. Nabízíme cement volně ložený i pytlovaný. <br><br>CEMEX Czech Republic, s.r.o. - cementárna Prachovice Tovární 296 538 04, Prachovice IČO: 27892638.",Cement,-,,-,,-,-,Pardubický kraj,FALSE
,"Betonárna Praha - Libuš, Cemex Czech Republic, s.r.o.",Obrataňská,Hlavní město Praha,Praha,Czech Republic,146 00, 257 257 600,"openTime_1 : 07:15, closeTime_1 : 17:15","openTime_1 : 07:15, closeTime_1 : 17:15","openTime_1 : 07:15, closeTime_1 : 17:15","openTime_1 : 07:15, closeTime_1 : 17:15","openTime_1 : 07:15, closeTime_1 : 17:15","openTime_1 : 07:15, closeTime_1 : 12:15",Closed,-,"ContactName_1 : Sales Enquiries,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 01417327337",14.46933205,50.01244688,TRUE,"Betonárna LIEBHERR RIM 2,25 s objemem 2,25 m3 a hodinovým výkonem 75m3 je vybavena celoročním automatickým počítačem řízeným provozem. Pro zimní období je vybavena zařízením pro ohřev záměsové vody a pro předehřev kameniva. K dispozici je i recyklační zařízení pro zpracování zbytkového betonu. Betonárna se nachází v Praze a její služby jsou dostupné i v okolních městech jako jsou Chodov, Písnice, Dolní Břežany, Kamýk, Modřany Jesenice, Průhonice či například Psáry. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, cementových litých potěrů CemLevel, konstrukčních betonů, samozhutnitelných betonů Compacton, drátkobetonů, vláknobetonů, písku a štěrku. Kromě toho poskytujeme autodopravu mixem, pumpování (čerpání) betonu.",Concrete,-,,-,,-,-,Hlavní město Praha,FALSE
,"Lom Smrčí, Cemex Czech Republic, s.r.o.",Smrčí 58,Liberecký kraj,Semily,Czech Republic,513 01, 773 745 749,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0191 731 4759
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 01748 811935
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 155 1811",15.26890341,50.62376552,TRUE,"Kamenolom Smrčí nabízí širokou škálu přírodního drceného kameniva čediče, které je vhodné pro stavební účely, betonové a asfaltové směsi. Naše kamenivo je dostupné ve frakcích 0/4, 4/8, 8/16, 11/22, 16/32, 32/63, 0/32, 0/63 a 32/63. Nabízíme také lomový kámen (LKZ) a lomový třískový kámen (LKT). Naše těžené kamenivo je dostupné ve frakcích 0/4 a 16/32. Prodloužení výdejní doby je možné na základě povolení obchodního zástupce. <br><br>Zajistíme smluvní přepravce, kteří mohou dovézt kamenivo do Železného Brodu, Malé Skály, Bozkova či Semil, stejně jako do jejich okolí. Naše kamenivo je ideální pro nejrůznější stavební účely, včetně zásypu drenáže, dětských hřišť a zahradních projektů.",Aggregates,-,,-,,-,-,Liberecký kraj,FALSE
,"Betonárna Jihlava - Pávov, Cemex Czech Republic, s.r.o.",Pávovská,Kraj Vysočina,Jihlava 1,Czech Republic,586 02, 602 531 231,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 155 9208
ContactName_2 : Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0345 601 2481",15.60823585,49.44188317,TRUE,"Betonárna BHS 2.0 m3 s míchacím jádrem BHS DKX 2.0 a hodinovým výkonem 80 m čerstvého betonu. Automatický, počítačem řízený provoz po celý rok. Zařízení pro ohřev záměsové vody a kameniva pro zimní období. Recyklační zařízení pro zpracování zbytkového betonu. Betonárna se nachází v Jihlavě a její služby jsou dostupné i v okolních městech jako jsou Havlíčkův Brod, Žďár nad Sázavou, Třebíč, Pelhřimov a Telč. Nabízíme špičkovou kvalitu produktů jako jsou Anhydritové lité potěry Anhylevel, Anhylevel Heat, Anhylevel Extranivel, Cementové lité potěry, CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony, písek a štěrk. Dále nabízíme autodopravu mixem, pumpování a čerpání betonu. Objednejte si beton u nás!",Concrete,-,,-,,-,-,Kraj Vysočina,FALSE
,"Betonárna Vsetín - Cemex Czech Republic, s.r.o.",Lhota u Vsetína,Zlínský kraj,Lhota u Vsetína-Vsetín,Czech Republic,755 01, 606 724 017,"openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Tel,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0800 667827",17.9692886,49.3127935,TRUE,"Betonárna BHS 2.0 s hodinovým výkonem 80 m čerstvého betonu se nachází ve Vsetíně. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony, písek a štěrk. Dále nabízíme autodopravu mixem, pumpování a čerpání betonu. Naše betonárna usiluje o udržitelnou výstavbu pomocí produktů řady Vertua. Naše služby jsou dostupné v okolí Vsetína, například ve městech Ratiboř, Hovězí, Liptál či například Jablůnka. Vybírejte z naší široké nabídky produktů a služeb pro své projekty.Na našich stránkách si můžete spočítat objem betonu a získat nezáaznou cenovou nabídku.",Concrete,-,,-,,-,-,Zlínský kraj,FALSE
,"Betonárna Praha - Horní Počernice, Cemex Czech Republic, s.r.o.",Františka Vítězslava Veselého,Hlavní město Praha,Praha,Czech Republic,193 00, 257 257 600,"openTime_1 : 07:00, closeTime_1 : 18:00","openTime_1 : 07:00, closeTime_1 : 18:00","openTime_1 : 07:00, closeTime_1 : 18:00","openTime_1 : 07:00, closeTime_1 : 18:00","openTime_1 : 07:00, closeTime_1 : 18:00","openTime_1 : 07:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0845 155 9215
ContactName_3 : Aggregate Asphalt Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 155 2410",14.6153182,50.1201903,TRUE,"Betonárna HBS 2 m s hodinovým výkonem 70 m čerstvého betonu je vybavena zařízením pro ohřev záměsové vody a má celoroční automatický, počítačem řízený provoz. Naše betonárna se nachází v Praze a její služby jsou dostupné i v okolních městech jako jsou Radonice, Satalice, Svémyslice, Zeleneč, Šestajovice či Černý Most. Nabízíme špičkovou kvalitu produktů jako jsou Anhydritové lité potěry Anhylevel, Anhylevel Heat, Anhylevel Extranivel, Cementové lité potěry, CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony, písek a štěrk. Dále nabízíme autodopravu mixem, pumpování a čerpání betonu. Cemex usiluje o udržitelnou výstavbu pomocí produktů řady Vertua. Na našich stránkách si můžete spočítat objem betonu.",Concrete,-,,-,,-,-,Hlavní město Praha,FALSE
,"Betonárna Brno, Cemex Czech Republic, s.r.o.",Masná 110,Jihomoravský kraj,Brno-Brno-jih,Czech Republic,602 00, 602 595 987,"openTime_1 : 06:00, closeTime_1 : 19:00","openTime_1 : 06:00, closeTime_1 : 19:00","openTime_1 : 06:00, closeTime_1 : 19:00","openTime_1 : 06:00, closeTime_1 : 19:00","openTime_1 : 06:00, closeTime_1 : 19:00","openTime_1 : 06:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0345 155 6053
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 155 1811",16.62689452,49.18058686,TRUE,"Betonárna BHS V2.25 s hodinovým výkonem 80 m čerstvého betonu je situována v Brně. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony, písek a štěrk. Autodoprava mixem, pumpování a čerpání betonu. Naše betonárna v Brně nabízí celoroční automatický, počítačem řízený provoz. Díky naší betonárně mohou lidé z okolí Brna, jako jsou například Tuřany, Lány, Heršpice, Ivančice, Šlapanice, Líšeň, Žabovřesky, Starý Lískovec či Ivanovice. Objednejte kvalitní čerstvý beton pro svůj projekt. Udržitelnost výstavby je pro nás důležitá, proto nabízíme produkty řady Vertua.",Concrete,-,,-,,-,-,Jihomoravský kraj,FALSE
,"Betonárna Poděbrady, Cemex Czech Republic, s.r.o.",Za Bažantnicí,Středočeský kraj,Poděbrady 1,Czech Republic,290 01, 606 635 978,"openTime_1 : 07:30, closeTime_1 : 17:30","openTime_1 : 07:30, closeTime_1 : 17:30","openTime_1 : 07:30, closeTime_1 : 17:30","openTime_1 : 07:30, closeTime_1 : 17:30","openTime_1 : 07:30, closeTime_1 : 17:30",Closed,Closed,-,"ContactName_1 : Shipping Office (North West),  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 155 9265
ContactName_2 : Concrete Sales,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0345 600 6464
ContactName_3 : Concrete Account Orders,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 155 9265
ContactName_4 : Screed Sales Only Orders,  JobPosition_4 : -,  EmailAddress_4 : -,  PhoneNumber1_4 : 0345 155 9265",15.1454144,50.14466312,TRUE,"Betonárna Teka 1,25 m s hodinovým výkonem 45 m čerstvého betonu je vybavena zařízením pro ohřev záměsové vody pro zimní období. Automatický, počítačem řízený provoz zajišťuje celoroční spolehlivost. Betonárna se nachází v Poděbradech a její služby jsou dostupné i v okolních městech jako jsou Křečkov, Nymburk, Pátek, Netřebice, či třeba Budiměřice. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony, písek a štěrk. Dále nabízíme autodopravu mixem, pumpování a čerpání betonu. Cemex usiluje o udržitelnou výstavbu pomocí produktů řady Vertua.",Concrete,-,,-,,-,-,Středočeský kraj,FALSE
,"Lom Úhošťany, Cemex Czech Republic, s.r.o.",Kadaň,Ústí nad Labem Region,Kadaň,Czech Republic,43201, 773 745 748,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 10:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 01296 399 434
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 147 9172",13.280368,50.358741,TRUE,"Kamenolom Úhoštany nabízí prodej kameniva pro nejrůznější stavební účely, jako je například zásyp drenáže, dětská hřiště, nebo zahradní kamenivo. Vyrábíme drcené kamenivo ve frakcích 0/4, 0/8, 4/8, 8/16, 11/22, 0/22, 0/32, 0/63, 32/63, 63/125, 63/250 a také lomový kámen záhozový a horninu Čedič (Bazalt).<br><br>Kromě toho nabízíme i smluvní přepravce, kteří dovezou kamenivo do Rokle, Klášterec nad Ohří, Tušimice, ChomutovKadaň a jejich okolí. Prodloužení výdejní doby je možné na základě povolení obchodního zástupce. Pokud hledáte kvalitní kamenivo pro své stavební účely, nebo na zahradu, obraťte se na naše obchodní zástupce a my Vám rádi pomůžeme. Nabízíme širokou škálu kameniva, které můžete využít pro své potřeby.",Concrete,-,,-,,-,-,Ústí nad Labem Region,FALSE
,"Betonárna Břeclav - Poštorná, Cemex Czech Republic, s.r.o.",Hraniční,Jihomoravský kraj,Breclav,Czech Republic,691 41, 606 748 203,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 01226 988 959
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0345 155 6053
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 01788 462 016",16.865752,48.741508,TRUE,"Betonárna Stetter H1.0 s hodinovým výkonem 50 m čerstvého betonu nabízí špičkovou kvalitu betonu a anhydritových potěrů. Automatický, počítačem řízený provoz zajišťuje celoroční dostupnost. Betonárna se nachází v blízkosti měst Břeclav - Poštorná. Jsme však schopni dovézt čerstvý beton i do okolí jako do měst Lednice, Valtice, Lanžhot či Velké Bílovice. Nabízíme konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony, písek a štěrk. Autodopravu mixem, pumpování (čerpání) betonu. Produkty řady Vertua od Cemexu usilují o udržitelnější výstavbu. Na našich stránkách si můžete spočítat cenu betonu a zažádat o nezávaznou cenovou nabídku.",Concrete,-,,-,,-,-,Jihomoravský kraj,FALSE
